taxonID,scientificName,kingdom,phylum,class,order,family,nomenclaturalCode
gn_1,,Animalia,Chordata,Aves,,,ICZN
gn_2,Struthio camelus,Animalia,Chordata,Aves,Struthioniformes,Struthionidae (Ostriches),ICZN
gn_3,Struthio camelus camelus,Animalia,Chordata,Aves,Struthioniformes,Struthionidae (Ostriches),ICZN
gn_4,Struthio camelus syriacus,Animalia,Chordata,Aves,Struthioniformes,Struthionidae (Ostriches),ICZN
gn_5,Struthio camelus massaicus,Animalia,Chordata,Aves,Struthioniformes,Struthionidae (Ostriches),ICZN
gn_6,Struthio camelus australis,Animalia,Chordata,Aves,Struthioniformes,Struthionidae (Ostriches),ICZN
gn_7,Struthio molybdophanes,Animalia,Chordata,Aves,Struthioniformes,Struthionidae (Ostriches),ICZN
gn_8,Rhea americana,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_9,Rhea americana araneipes,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_10,Rhea americana americana,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_11,Rhea americana nobilis,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_12,Rhea americana albescens,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_13,Rhea americana intermedia,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_14,Rhea pennata,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_15,Rhea pennata tarapacensis/garleppi,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_16,Rhea pennata garleppi,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_17,Rhea pennata tarapacensis,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_18,Rhea pennata pennata,Animalia,Chordata,Aves,Rheiformes,Rheidae (Rheas),ICZN
gn_19,Nothocercus julius,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_20,Nothocercus bonapartei,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_21,Nothocercus bonapartei [bonapartei Group],Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_22,Nothocercus bonapartei intercedens,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_23,Nothocercus bonapartei discrepans,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_24,Nothocercus bonapartei bonapartei,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_25,Nothocercus bonapartei plumbeiceps,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_26,Nothocercus bonapartei frantzii,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_27,Nothocercus nigrocapillus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_28,Nothocercus nigrocapillus cadwaladeri,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_29,Nothocercus nigrocapillus nigrocapillus,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_30,Tinamus tao,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
gn_31,Tinamus tao larensis,Animalia,Chordata,Aves,Tinamiformes,Tinamidae (Tinamous),ICZN
